location,age_group,year,week,date,value_0w,value_1w,value_2w,value_3w,value_4w,value_5w,value_6w,value_7w,value_8w,value_9w,value_10w,value_>10w
DE,00+,2023,36,2023-09-10,960,-23,3,5,-22,-1,-2,2,0,0,0,0
DE,00+,2023,37,2023-09-17,1020,47,-8,5,-11,-2,1,2,0,0,0,1
DE,00+,2023,38,2023-09-24,1149,-8,9,3,-26,-1,3,0,0,0,0,0
DE,00+,2023,39,2023-10-01,1276,34,21,20,-6,5,0,0,-2,0,0,0
DE,00+,2023,40,2023-10-08,1129,-30,4,6,-11,0,0,0,0,0,-2,0
DE,00+,2023,41,2023-10-15,1569,-2,-12,0,-26,0,0,0,0,0,0,0
DE,00+,2023,42,2023-10-22,1687,-73,-22,-16,-17,0,0,0,0,0,0,0
DE,00+,2023,43,2023-10-29,1686,-46,5,27,-29,0,-1,5,0,0,,
DE,00+,2023,44,2023-11-05,1562,-66,-5,14,-25,1,-2,0,0,,,
DE,00+,2023,45,2023-11-12,1755,55,40,-3,-40,0,0,0,,,,
DE,00+,2023,46,2023-11-19,1897,66,-4,-20,-14,0,0,,,,,
DE,00+,2023,47,2023-11-26,2035,43,0,7,0,-8,,,,,,
DE,00+,2023,48,2023-12-03,2030,25,32,0,-5,,,,,,,
DE,00+,2023,49,2023-12-10,2260,81,0,8,,,,,,,,
DE,00+,2023,50,2023-12-17,2537,0,41,,,,,,,,,
DE,00+,2023,51,2023-12-24,0,2266,,,,,,,,,,
DE,00+,2023,52,2023-12-31,1257,,,,,,,,,,,
DE,00-04,2023,36,2023-09-10,2873,45,-1,10,-49,9,2,25,0,0,0,0
DE,00-04,2023,37,2023-09-17,3222,119,-68,36,-20,-11,45,0,0,0,0,2
DE,00-04,2023,38,2023-09-24,3496,-8,49,111,-92,24,5,0,0,2,0,0
DE,00-04,2023,39,2023-10-01,3791,81,205,44,37,-25,0,0,9,0,0,0
DE,00-04,2023,40,2023-10-08,3266,51,5,25,-25,2,0,0,0,0,-6,0
DE,00-04,2023,41,2023-10-15,3939,159,15,-10,-24,0,0,0,0,-5,0,0
DE,00-04,2023,42,2023-10-22,4420,29,19,-113,-54,0,0,0,5,0,0,0
DE,00-04,2023,43,2023-10-29,4560,-80,79,19,-19,0,0,71,0,0,,
DE,00-04,2023,44,2023-11-05,4110,-322,-35,-7,-27,0,-27,0,0,,,
DE,00-04,2023,45,2023-11-12,4107,262,142,26,44,4,0,0,,,,
DE,00-04,2023,46,2023-11-19,4415,311,41,71,4,0,0,,,,,
DE,00-04,2023,47,2023-11-26,5156,246,124,-15,0,-2,,,,,,
DE,00-04,2023,48,2023-12-03,5221,379,82,0,4,,,,,,,
DE,00-04,2023,49,2023-12-10,5796,139,0,110,,,,,,,,
DE,00-04,2023,50,2023-12-17,6337,0,155,,,,,,,,,
DE,00-04,2023,51,2023-12-24,0,6734,,,,,,,,,,
DE,00-04,2023,52,2023-12-31,4303,,,,,,,,,,,
DE,05-14,2023,36,2023-09-10,1273,25,13,0,-29,4,-3,2,-1,0,0,0
DE,05-14,2023,37,2023-09-17,1494,83,-30,4,-1,-5,3,1,0,0,0,3
DE,05-14,2023,38,2023-09-24,1623,-11,14,42,-46,2,2,0,0,2,0,0
DE,05-14,2023,39,2023-10-01,1791,94,94,21,1,-11,0,0,0,0,0,0
DE,05-14,2023,40,2023-10-08,1253,35,14,10,-6,0,0,0,0,0,-13,0
DE,05-14,2023,41,2023-10-15,1549,132,-1,-7,-11,0,0,0,0,-1,0,0
DE,05-14,2023,42,2023-10-22,1743,23,7,-38,-18,0,0,0,-2,0,0,0
DE,05-14,2023,43,2023-10-29,1791,-22,32,14,-10,0,1,22,0,0,,
DE,05-14,2023,44,2023-11-05,1797,-131,-5,-6,-9,2,-18,0,0,,,
DE,05-14,2023,45,2023-11-12,2014,144,16,16,-4,-12,0,0,,,,
DE,05-14,2023,46,2023-11-19,2214,73,12,24,-1,0,0,,,,,
DE,05-14,2023,47,2023-11-26,2549,42,66,-6,0,-2,,,,,,
DE,05-14,2023,48,2023-12-03,2395,141,58,0,10,,,,,,,
DE,05-14,2023,49,2023-12-10,2694,46,0,34,,,,,,,,
DE,05-14,2023,50,2023-12-17,3074,0,19,,,,,,,,,
DE,05-14,2023,51,2023-12-24,0,2906,,,,,,,,,,
DE,05-14,2023,52,2023-12-31,1305,,,,,,,,,,,
DE,15-34,2023,36,2023-09-10,1356,-44,14,20,-31,-3,-3,2,0,0,0,0
DE,15-34,2023,37,2023-09-17,1397,77,-4,-2,-16,-3,-1,1,0,0,0,0
DE,15-34,2023,38,2023-09-24,1536,-7,17,-2,-32,-4,7,0,0,-2,0,0
DE,15-34,2023,39,2023-10-01,1785,48,17,48,-14,14,0,0,-5,0,0,0
DE,15-34,2023,40,2023-10-08,1499,-36,12,6,-15,-1,0,0,0,0,-3,0
DE,15-34,2023,41,2023-10-15,2180,-33,-21,4,-44,0,0,0,0,0,0,0
DE,15-34,2023,42,2023-10-22,2237,-91,-24,-18,-22,0,0,0,-2,0,0,0
DE,15-34,2023,43,2023-10-29,2172,-56,-6,44,-43,0,-4,0,0,0,,
DE,15-34,2023,44,2023-11-05,1884,-37,4,37,-35,-2,2,0,0,,,
DE,15-34,2023,45,2023-11-12,2243,52,39,-11,-62,2,0,0,,,,
DE,15-34,2023,46,2023-11-19,2407,59,-7,-41,-23,0,0,,,,,
DE,15-34,2023,47,2023-11-26,2507,52,-16,5,0,-16,,,,,,
DE,15-34,2023,48,2023-12-03,2507,-34,47,0,-11,,,,,,,
DE,15-34,2023,49,2023-12-10,2768,106,0,4,,,,,,,,
DE,15-34,2023,50,2023-12-17,2887,0,35,,,,,,,,,
DE,15-34,2023,51,2023-12-24,0,2525,,,,,,,,,,
DE,15-34,2023,52,2023-12-31,1217,,,,,,,,,,,
DE,35-59,2023,36,2023-09-10,898,-48,-4,0,-21,-3,-3,0,0,0,0,0
DE,35-59,2023,37,2023-09-17,922,14,1,14,-13,-2,-4,6,0,0,0,0
DE,35-59,2023,38,2023-09-24,1062,-6,4,-9,-22,-3,3,0,0,-1,0,0
DE,35-59,2023,39,2023-10-01,1183,18,-5,5,-11,10,0,0,-2,0,0,0
DE,35-59,2023,40,2023-10-08,1086,-42,-10,1,-9,0,0,0,0,0,0,0
DE,35-59,2023,41,2023-10-15,1591,-29,-17,0,-30,0,0,0,0,1,0,0
