date,year,week,location,age_group,value
2012-10-07,2012,40,DE,00+,806442
2012-10-07,2012,40,DE,00-04,153511
2012-10-07,2012,40,DE,05-14,103407
2012-10-07,2012,40,DE,15-34,229062
2012-10-07,2012,40,DE,60+,98264
2012-10-07,2012,40,DE,35-59,228837
2012-10-14,2012,41,DE,00+,926992
2012-10-14,2012,41,DE,00-04,159364
2012-10-14,2012,41,DE,05-14,105208
2012-10-14,2012,41,DE,15-34,272755
2012-10-14,2012,41,DE,60+,112955
2012-10-14,2012,41,DE,35-59,280742
2012-10-21,2012,42,DE,00+,966899
2012-10-21,2012,42,DE,00-04,172770
2012-10-21,2012,42,DE,05-14,101231
2012-10-21,2012,42,DE,15-34,270675
2012-10-21,2012,42,DE,60+,118013
2012-10-21,2012,42,DE,35-59,308845
2012-10-28,2012,43,DE,00+,892906
2012-10-28,2012,43,DE,00-04,155330
2012-10-28,2012,43,DE,05-14,90124
2012-10-28,2012,43,DE,15-34,232277
2012-10-28,2012,43,DE,60+,122348
2012-10-28,2012,43,DE,35-59,296514
2012-11-04,2012,44,DE,00+,737437
2012-11-04,2012,44,DE,00-04,147145
2012-11-04,2012,44,DE,05-14,84271
2012-11-04,2012,44,DE,15-34,195203
2012-11-04,2012,44,DE,60+,83572
2012-11-04,2012,44,DE,35-59,232565
2012-11-11,2012,45,DE,00+,907039
2012-11-11,2012,45,DE,00-04,155133
2012-11-11,2012,45,DE,05-14,102806
2012-11-11,2012,45,DE,15-34,246085
2012-11-11,2012,45,DE,60+,114160
2012-11-11,2012,45,DE,35-59,292212
2012-11-18,2012,46,DE,00+,875447
2012-11-18,2012,46,DE,00-04,168182
2012-11-18,2012,46,DE,05-14,117890
2012-11-18,2012,46,DE,15-34,232845
2012-11-18,2012,46,DE,60+,106934
2012-11-18,2012,46,DE,35-59,256654
2012-11-25,2012,47,DE,00+,897062
2012-11-25,2012,47,DE,00-04,175300
2012-11-25,2012,47,DE,05-14,125469
2012-11-25,2012,47,DE,15-34,236817
2012-11-25,2012,47,DE,60+,100913
2012-11-25,2012,47,DE,35-59,265256
2012-12-02,2012,48,DE,00+,907039
2012-12-02,2012,48,DE,00-04,191751
2012-12-02,2012,48,DE,05-14,135825
2012-12-02,2012,48,DE,15-34,225846
2012-12-02,2012,48,DE,60+,94651
2012-12-02,2012,48,DE,35-59,267264
2012-12-09,2012,49,DE,00+,958585
2012-12-09,2012,49,DE,00-04,188113
2012-12-09,2012,49,DE,05-14,129071
2012-12-09,2012,49,DE,15-34,253084
2012-12-09,2012,49,DE,60+,104767
2012-12-09,2012,49,DE,35-59,289918
