location,age_group,year,week,date,value_0w,value_1w,value_2w,value_3w,value_4w
DE,00+,2023,36,2023-09-10,798128,-19122.0,2494.0,4157.0,-18290.0
DE,00+,2023,37,2023-09-17,848011,39075.0,-6651.0,4157.0,-9145.0
DE,00+,2023,38,2023-09-24,955259,-6651.0,7483.0,2494.0,-21616.0
DE,00+,2023,39,2023-10-01,1060845,28267.0,17459.0,16628.0,-4988.0
DE,00+,2023,40,2023-10-08,938632,-24942.0,3326.0,4988.0,-9145.0
DE,00+,2023,41,2023-10-15,1304440,-1662.0,-9977.0,0.0,-21616.0
DE,00+,2023,42,2023-10-22,1402544,-60691.0,-18291.0,-13302.0,-14133.0
DE,00+,2023,43,2023-10-29,1401712,-38243.0,4157.0,22447.0,-24110.0
DE,00+,2023,44,2023-11-05,1298621,-54872.0,-4156.0,11639.0,-20785.0
DE,00+,2023,45,2023-11-12,1459078,45726.0,33255.0,-2494.0,-33255.0
DE,00+,2023,46,2023-11-19,1577134,54872.0,-3326.0,-16628.0,-11639.0
DE,00+,2023,47,2023-11-26,1691865,35750.0,0.0,5819.0,0.0
DE,00+,2023,48,2023-12-03,1687708,20785.0,26604.0,0.0,-4157.0
DE,00+,2023,49,2023-12-10,1878927,67342.0,0.0,6651.0,-18291.0
DE,00+,2023,50,2023-12-17,2109220,0.0,34087.0,6651.0,-39075.0
DE,00+,2023,51,2023-12-24,0,1883915.0,39906.0,-22447.0,-39906.0
DE,00+,2023,52,2023-12-31,1045049,-191218.0,-36581.0,-14965.0,-1663.0
DE,00+,2024,1,2024-01-07,1508961,-105586.0,-22447.0,-2494.0,0.0
DE,00+,2024,2,2024-01-14,1385085,-15797.0,11640.0,3325.0,-19953.0
DE,00+,2024,3,2024-01-21,1419171,46558.0,0.0,9145.0,-2494.0
DE,00+,2024,4,2024-01-28,1656116,28267.0,7482.0,20785.0,-16628.0
DE,00+,2024,5,2024-02-04,1741748,35750.0,32424.0,8314.0,-9977.0
DE,00+,2024,6,2024-02-11,1612884,103091.0,14134.0,6651.0,-9145.0
DE,00+,2024,7,2024-02-18,1486514,4988.0,-13302.0,5819.0,-7482.0
DE,00+,2024,8,2024-02-25,1478200,24110.0,8314.0,-7483.0,-2494.0
DE,00+,2024,9,2024-03-03,1232110,47389.0,5820.0,3325.0,-7482.0
DE,00+,2024,10,2024-03-10,1176407,15797.0,5819.0,-1662.0,-10808.0
DE,00+,2024,11,2024-03-17,1162274,34087.0,5819.0,1663.0,-11639.0
DE,00+,2024,12,2024-03-24,1140658,0.0,0.0,1663.0,-1663.0
DE,00+,2024,13,2024-03-31,877109,-24941.0,5819.0,2495.0,-9977.0
DE,00+,2024,14,2024-04-07,992672,-19122.0,-19122.0,-4988.0,-8314.0
DE,00+,2024,15,2024-04-14,938632,26604.0,7482.0,-831.0,0.0
DE,00+,2024,16,2024-04-21,902882,47389.0,4157.0,831.0,-5819.0
DE,00+,2024,17,2024-04-28,1040060,39907.0,3325.0,2495.0,-29099.0
DE,00+,2024,18,2024-05-05,810599,11639.0,6651.0,4157.0,-4988.0
DE,00+,2024,19,2024-05-12,670926,8314.0,9977.0,2494.0,-9145.0
DE,00+,2024,20,2024-05-19,870458,35750.0,1662.0,5820.0,-12471.0
DE,00+,2024,21,2024-05-26,722472,-17459.0,-4157.0,-7483.0,-2494.0
DE,00+,2024,22,2024-06-02,642659,2494.0,-7482.0,-4989.0,-1662.0
DE,00+,2024,23,2024-06-09,757390,5820.0,11639.0,-2494.0,-19953.0
DE,00+,2024,24,2024-06-16,815587,34087.0,-5820.0,12471.0,-4989.0
DE,00+,2024,25,2024-06-23,847179,9977.0,-1663.0,-2494.0,-10808.0
DE,00+,2024,26,2024-06-30,805610,-3325.0,-4989.0,1663.0,-4988.0
