"date","location","age_group","value"
"2017-10-08","DE","00+",7
"2017-10-15","DE","00+",0
"2017-10-22","DE","00+",0
"2017-10-29","DE","00+",0
"2017-11-05","DE","00+",0
"2017-11-12","DE","00+",0
"2017-11-19","DE","00+",6
"2017-11-26","DE","00+",10
"2017-12-03","DE","00+",7
"2017-12-10","DE","00+",7
"2017-12-17","DE","00+",10
"2017-12-24","DE","00+",16
"2017-12-31","DE","00+",16
"2018-01-07","DE","00+",40
"2018-01-14","DE","00+",59
"2018-01-21","DE","00+",110
"2018-01-28","DE","00+",160
"2018-02-04","DE","00+",197
"2018-02-11","DE","00+",170
"2018-02-18","DE","00+",230
"2018-02-25","DE","00+",240
"2018-03-04","DE","00+",286
"2017-10-08","DE-BW","00+",0
"2017-10-15","DE-BW","00+",0
"2017-10-22","DE-BW","00+",0
"2017-10-29","DE-BW","00+",0
"2017-11-05","DE-BW","00+",0
"2017-11-12","DE-BW","00+",0
"2017-11-19","DE-BW","00+",2
"2017-11-26","DE-BW","00+",2
"2017-12-03","DE-BW","00+",0
"2017-12-10","DE-BW","00+",0
"2017-12-17","DE-BW","00+",0
"2017-12-24","DE-BW","00+",4
"2017-12-31","DE-BW","00+",5
"2018-01-07","DE-BW","00+",18
"2018-01-14","DE-BW","00+",33
"2018-01-21","DE-BW","00+",40
"2018-01-28","DE-BW","00+",64
"2018-02-04","DE-BW","00+",73
"2018-02-11","DE-BW","00+",72
"2018-02-18","DE-BW","00+",82
"2018-02-25","DE-BW","00+",103
"2018-03-04","DE-BW","00+",95
"2017-10-08","DE-BY","00+",0
"2017-10-15","DE-BY","00+",1
"2017-10-22","DE-BY","00+",0
"2017-10-29","DE-BY","00+",0
"2017-11-05","DE-BY","00+",1
"2017-11-12","DE-BY","00+",0
"2017-11-19","DE-BY","00+",0
"2017-11-26","DE-BY","00+",1
"2017-12-03","DE-BY","00+",0
"2017-12-10","DE-BY","00+",1
"2017-12-17","DE-BY","00+",3
"2017-12-24","DE-BY","00+",2
"2017-12-31","DE-BY","00+",3
"2018-01-07","DE-BY","00+",8
"2018-01-14","DE-BY","00+",10
"2018-01-21","DE-BY","00+",21
"2018-01-28","DE-BY","00+",28
"2018-02-04","DE-BY","00+",31
"2018-02-11","DE-BY","00+",26
"2018-02-18","DE-BY","00+",21
"2018-02-25","DE-BY","00+",33
"2018-03-04","DE-BY","00+",39
"2017-10-08","DE-BB-BE","00+",0
"2017-10-15","DE-BB-BE","00+",1
"2017-10-22","DE-BB-BE","00+",0
"2017-10-29","DE-BB-BE","00+",0
"2017-11-05","DE-BB-BE","00+",0
"2017-11-12","DE-BB-BE","00+",0
"2017-11-19","DE-BB-BE","00+",0
"2017-11-26","DE-BB-BE","00+",0
"2017-12-03","DE-BB-BE","00+",2
"2017-12-10","DE-BB-BE","00+",2
"2017-12-17","DE-BB-BE","00+",0
"2017-12-24","DE-BB-BE","00+",0
"2017-12-31","DE-BB-BE","00+",2
"2018-01-07","DE-BB-BE","00+",4
"2018-01-14","DE-BB-BE","00+",7
"2018-01-21","DE-BB-BE","00+",10
"2018-01-28","DE-BB-BE","00+",23
"2018-02-04","DE-BB-BE","00+",24
"2018-02-11","DE-BB-BE","00+",13
"2018-02-18","DE-BB-BE","00+",28
"2018-02-25","DE-BB-BE","00+",26
"2018-03-04","DE-BB-BE","00+",45
"2017-10-08","DE-HE","00+",0
"2017-10-15","DE-HE","00+",0
"2017-10-22","DE-HE","00+",0
"2017-10-29","DE-HE","00+",0
"2017-11-05","DE-HE","00+",0
"2017-11-12","DE-HE","00+",0
"2017-11-19","DE-HE","00+",0
"2017-11-26","DE-HE","00+",0
"2017-12-03","DE-HE","00+",0
"2017-12-10","DE-HE","00+",0
"2017-12-17","DE-HE","00+",1
"2017-12-24","DE-HE","00+",1
"2017-12-31","DE-HE","00+",0
"2018-01-07","DE-HE","00+",4
"2018-01-14","DE-HE","00+",3
"2018-01-21","DE-HE","00+",4
"2018-01-28","DE-HE","00+",8
"2018-02-04","DE-HE","00+",10
"2018-02-11","DE-HE","00+",11
"2018-02-18","DE-HE","00+",18
"2018-02-25","DE-HE","00+",17
"2018-03-04","DE-HE","00+",14
"2017-10-08","DE-MV","00+",0
"2017-10-15","DE-MV","00+",0
"2017-10-22","DE-MV","00+",0
"2017-10-29","DE-MV","00+",0
"2017-11-05","DE-MV","00+",0
"2017-11-12","DE-MV","00+",0
"2017-11-19","DE-MV","00+",2
"2017-11-26","DE-MV","00+",0
"2017-12-03","DE-MV","00+",0
"2017-12-10","DE-MV","00+",0
"2017-12-17","DE-MV","00+",0
"2017-12-24","DE-MV","00+",2
"2017-12-31","DE-MV","00+",2
"2018-01-07","DE-MV","00+",4
"2018-01-14","DE-MV","00+",10
"2018-01-21","DE-MV","00+",18
"2018-01-28","DE-MV","00+",40
"2018-02-04","DE-MV","00+",48
"2018-02-11","DE-MV","00+",56
"2018-02-18","DE-MV","00+",64
"2018-02-25","DE-MV","00+",94
"2018-03-04","DE-MV","00+",90
"2017-10-08","DE-NI-HB","00+",0
"2017-10-15","DE-NI-HB","00+",0
"2017-10-22","DE-NI-HB","00+",1
"2017-10-29","DE-NI-HB","00+",0
"2017-11-05","DE-NI-HB","00+",0
"2017-11-12","DE-NI-HB","00+",0
"2017-11-19","DE-NI-HB","00+",0
"2017-11-26","DE-NI-HB","00+",2
"2017-12-03","DE-NI-HB","00+",2
"2017-12-10","DE-NI-HB","00+",1
"2017-12-17","DE-NI-HB","00+",0
"2017-12-24","DE-NI-HB","00+",2
"2017-12-31","DE-NI-HB","00+",2
"2018-01-07","DE-NI-HB","00+",2
"2018-01-14","DE-NI-HB","00+",5
"2018-01-21","DE-NI-HB","00+",11
"2018-01-28","DE-NI-HB","00+",40
