"date","week","location","age_group","value"
"2025-10-05","40","DE","00+",95
"2025-10-12","41","DE","00+",103
"2025-10-19","42","DE","00+",35
"2025-10-05","40","DE-BB-BE","00+",12
"2025-10-12","41","DE-BB-BE","00+",17
"2025-10-19","42","DE-BB-BE","00+",2
"2025-10-05","40","DE-BW","00+",16
"2025-10-12","41","DE-BW","00+",16
"2025-10-19","42","DE-BW","00+",8
"2025-10-05","40","DE-BY","00+",17
"2025-10-12","41","DE-BY","00+",20
"2025-10-19","42","DE-BY","00+",9
"2025-10-05","40","DE-HE","00+",14
"2025-10-12","41","DE-HE","00+",14
"2025-10-19","42","DE-HE","00+",6
"2025-10-05","40","DE-MV","00+",0
"2025-10-12","41","DE-MV","00+",0
"2025-10-19","42","DE-MV","00+",0
"2025-10-05","40","DE-NI-HB","00+",2
"2025-10-12","41","DE-NI-HB","00+",1
"2025-10-19","42","DE-NI-HB","00+",1
"2025-10-05","40","DE-NW","00+",12
"2025-10-12","41","DE-NW","00+",16
"2025-10-19","42","DE-NW","00+",0
"2025-10-05","40","DE-RP-SL","00+",3
"2025-10-12","41","DE-RP-SL","00+",1
"2025-10-19","42","DE-RP-SL","00+",0
"2025-10-05","40","DE-SH-HH","00+",6
"2025-10-12","41","DE-SH-HH","00+",6
"2025-10-19","42","DE-SH-HH","00+",0
"2025-10-05","40","DE-SN","00+",0
"2025-10-12","41","DE-SN","00+",0
"2025-10-19","42","DE-SN","00+",0
"2025-10-05","40","DE-ST","00+",0
"2025-10-12","41","DE-ST","00+",0
"2025-10-19","42","DE-ST","00+",0
"2025-10-05","40","DE-TH","00+",15
"2025-10-12","41","DE-TH","00+",13
"2025-10-19","42","DE-TH","00+",9
