"date","location","age_group","value"
"2020-10-04","DE","00+","0"
"2020-10-11","DE","00+","0"
"2020-10-04","DE-BB-BE","00+","0"
"2020-10-11","DE-BB-BE","00+","0"
"2020-10-04","DE-BW","00+","0"
"2020-10-11","DE-BW","00+","0"
"2020-10-04","DE-BY","00+","0"
"2020-10-11","DE-BY","00+","0"
"2020-10-04","DE-HE","00+","0"
"2020-10-11","DE-HE","00+","0"
"2020-10-04","DE-MV","00+","0"
"2020-10-11","DE-MV","00+","0"
"2020-10-04","DE-NI-HB","00+","0"
"2020-10-11","DE-NI-HB","00+","0"
"2020-10-04","DE-NW","00+","0"
"2020-10-11","DE-NW","00+","0"
"2020-10-04","DE-RP-SL","00+","0"
"2020-10-11","DE-RP-SL","00+","0"
"2020-10-04","DE-SH-HH","00+","0"
"2020-10-11","DE-SH-HH","00+","0"
"2020-10-04","DE-SN","00+","0"
"2020-10-11","DE-SN","00+","0"
"2020-10-04","DE-ST","00+","0"
"2020-10-11","DE-ST","00+","0"
"2020-10-04","DE-TH","00+","0"
"2020-10-11","DE-TH","00+","0"
