"date","location","age_group","value"
"2020-10-04","DE","00+","56"
"2020-10-11","DE","00+","57"
"2020-10-18","DE","00+","33"
"2020-10-25","DE","00+","36"
"2020-11-01","DE","00+","54"
"2020-11-08","DE","00+","88"
"2020-11-15","DE","00+","85"
"2020-11-22","DE","00+","91"
"2020-11-29","DE","00+","94"
"2020-12-06","DE","00+","187"
"2020-12-13","DE","00+","249"
"2020-12-20","DE","00+","185"
"2020-12-27","DE","00+","70"
"2021-01-03","DE","00+","42"
"2021-01-10","DE","00+","142"
"2021-01-17","DE","00+","143"
"2021-01-24","DE","00+","164"
"2021-01-31","DE","00+","159"
"2021-02-07","DE","00+","160"
"2021-02-14","DE","00+","150"
"2021-02-21","DE","00+","166"
"2021-02-28","DE","00+","161"
"2021-03-07","DE","00+","215"
"2021-03-14","DE","00+","240"
"2021-03-21","DE","00+","261"
"2021-03-28","DE","00+","288"
"2021-04-04","DE","00+","144"
"2021-04-11","DE","00+","159"
"2021-04-18","DE","00+","147"
"2021-04-25","DE","00+","175"
"2021-05-02","DE","00+","147"
"2021-05-09","DE","00+","127"
"2020-10-04","DE-BB-BE","00+","6"
"2020-10-11","DE-BB-BE","00+","10"
"2020-10-18","DE-BB-BE","00+","2"
"2020-10-25","DE-BB-BE","00+","4"
"2020-11-01","DE-BB-BE","00+","7"
"2020-11-08","DE-BB-BE","00+","9"
"2020-11-15","DE-BB-BE","00+","7"
"2020-11-22","DE-BB-BE","00+","9"
"2020-11-29","DE-BB-BE","00+","7"
"2020-12-06","DE-BB-BE","00+","16"
"2020-12-13","DE-BB-BE","00+","27"
"2020-12-20","DE-BB-BE","00+","23"
"2020-12-27","DE-BB-BE","00+","10"
"2021-01-03","DE-BB-BE","00+","1"
"2021-01-10","DE-BB-BE","00+","26"
"2021-01-17","DE-BB-BE","00+","17"
"2021-01-24","DE-BB-BE","00+","15"
"2021-01-31","DE-BB-BE","00+","16"
"2021-02-07","DE-BB-BE","00+","14"
"2021-02-14","DE-BB-BE","00+","18"
"2021-02-21","DE-BB-BE","00+","23"
"2021-02-28","DE-BB-BE","00+","21"
"2021-03-07","DE-BB-BE","00+","16"
"2021-03-14","DE-BB-BE","00+","17"
"2021-03-21","DE-BB-BE","00+","23"
"2021-03-28","DE-BB-BE","00+","28"
"2021-04-04","DE-BB-BE","00+","14"
"2021-04-11","DE-BB-BE","00+","22"
"2021-04-18","DE-BB-BE","00+","11"
"2021-04-25","DE-BB-BE","00+","20"
"2021-05-02","DE-BB-BE","00+","10"
"2021-05-09","DE-BB-BE","00+","5"
"2020-10-04","DE-BW","00+","8"
"2020-10-11","DE-BW","00+","11"
"2020-10-18","DE-BW","00+","4"
"2020-10-25","DE-BW","00+","8"
"2020-11-01","DE-BW","00+","10"
"2020-11-08","DE-BW","00+","20"
"2020-11-15","DE-BW","00+","10"
"2020-11-22","DE-BW","00+","13"
"2020-11-29","DE-BW","00+","12"
"2020-12-06","DE-BW","00+","23"
"2020-12-13","DE-BW","00+","23"
"2020-12-20","DE-BW","00+","24"
"2020-12-27","DE-BW","00+","9"
"2021-01-03","DE-BW","00+","7"
"2021-01-10","DE-BW","00+","9"
"2021-01-17","DE-BW","00+","10"
"2021-01-24","DE-BW","00+","17"
"2021-01-31","DE-BW","00+","18"
"2021-02-07","DE-BW","00+","14"
"2021-02-14","DE-BW","00+","9"
"2021-02-21","DE-BW","00+","12"
"2021-02-28","DE-BW","00+","9"
"2021-03-07","DE-BW","00+","18"
"2021-03-14","DE-BW","00+","21"
"2021-03-21","DE-BW","00+","26"
"2021-03-28","DE-BW","00+","27"
"2021-04-04","DE-BW","00+","9"
"2021-04-11","DE-BW","00+","17"
"2021-04-18","DE-BW","00+","17"
"2021-04-25","DE-BW","00+","13"
"2021-05-02","DE-BW","00+","14"
"2021-05-09","DE-BW","00+","9"
"2020-10-04","DE-BY","00+","4"
"2020-10-11","DE-BY","00+","3"
"2020-10-18","DE-BY","00+","0"
"2020-10-25","DE-BY","00+","4"
"2020-11-01","DE-BY","00+","2"
"2020-11-08","DE-BY","00+","4"
"2020-11-15","DE-BY","00+","3"
"2020-11-22","DE-BY","00+","6"
"2020-11-29","DE-BY","00+","7"
"2020-12-06","DE-BY","00+","20"
"2020-12-13","DE-BY","00+","24"
"2020-12-20","DE-BY","00+","13"
"2020-12-27","DE-BY","00+","6"
"2021-01-03","DE-BY","00+","0"
"2021-01-10","DE-BY","00+","11"
"2021-01-17","DE-BY","00+","5"
"2021-01-24","DE-BY","00+","3"
"2021-01-31","DE-BY","00+","11"
"2021-02-07","DE-BY","00+","13"
"2021-02-14","DE-BY","00+","18"
"2021-02-21","DE-BY","00+","11"
"2021-02-28","DE-BY","00+","5"
"2021-03-07","DE-BY","00+","16"
"2021-03-14","DE-BY","00+","19"
"2021-03-21","DE-BY","00+","3"
"2021-03-28","DE-BY","00+","10"
"2021-04-04","DE-BY","00+","5"
"2021-04-11","DE-BY","00+","3"
"2021-04-18","DE-BY","00+","8"
"2021-04-25","DE-BY","00+","3"
"2021-05-02","DE-BY","00+","4"
"2021-05-09","DE-BY","00+","3"
"2020-10-04","DE-HE","00+","4"
"2020-10-11","DE-HE","00+","2"
"2020-10-18","DE-HE","00+","2"
"2020-10-25","DE-HE","00+","4"
"2020-11-01","DE-HE","00+","6"
"2020-11-08","DE-HE","00+","6"
"2020-11-15","DE-HE","00+","8"
"2020-11-22","DE-HE","00+","8"
"2020-11-29","DE-HE","00+","10"
"2020-12-06","DE-HE","00+","30"
"2020-12-13","DE-HE","00+","30"
"2020-12-20","DE-HE","00+","28"
"2020-12-27","DE-HE","00+","12"
"2021-01-03","DE-HE","00+","6"
"2021-01-10","DE-HE","00+","20"
"2021-01-17","DE-HE","00+","26"
"2021-01-24","DE-HE","00+","36"
"2021-01-31","DE-HE","00+","30"
"2021-02-07","DE-HE","00+","28"
"2021-02-14","DE-HE","00+","28"
"2021-02-21","DE-HE","00+","26"
"2021-02-28","DE-HE","00+","30"
"2021-03-07","DE-HE","00+","50"
"2021-03-14","DE-HE","00+","60"
"2021-03-21","DE-HE","00+","62"
"2021-03-28","DE-HE","00+","82"
"2021-04-04","DE-HE","00+","48"
"2021-04-11","DE-HE","00+","30"
"2021-04-18","DE-HE","00+","32"
"2021-04-25","DE-HE","00+","38"
"2021-05-02","DE-HE","00+","38"
"2021-05-09","DE-HE","00+","32"
"2020-10-04","DE-MV","00+","2"
"2020-10-11","DE-MV","00+","3"
"2020-10-18","DE-MV","00+","3"
"2020-10-25","DE-MV","00+","3"
"2020-11-01","DE-MV","00+","1"
"2020-11-08","DE-MV","00+","3"
"2020-11-15","DE-MV","00+","3"
"2020-11-22","DE-MV","00+","2"
"2020-11-29","DE-MV","00+","3"
"2020-12-06","DE-MV","00+","3"
"2020-12-13","DE-MV","00+","5"
"2020-12-20","DE-MV","00+","3"
"2020-12-27","DE-MV","00+","0"
"2021-01-03","DE-MV","00+","2"
"2021-01-10","DE-MV","00+","4"
"2021-01-17","DE-MV","00+","1"
"2021-01-24","DE-MV","00+","6"
"2021-01-31","DE-MV","00+","10"
"2021-02-07","DE-MV","00+","3"
"2021-02-14","DE-MV","00+","6"
