"date","week","location","age_group","value"
2022-06-19,24,"DE","00-04",62
2022-06-26,25,"DE","00-04",46
2022-07-03,26,"DE","00-04",32
2022-07-10,27,"DE","00-04",30
2022-07-17,28,"DE","00-04",48
2022-07-24,29,"DE","00-04",41
2022-07-31,30,"DE","00-04",30
2022-08-07,31,"DE","00-04",23
2022-08-14,32,"DE","00-04",27
2022-08-21,33,"DE","00-04",23
2022-08-28,34,"DE","00-04",32
2022-09-04,35,"DE","00-04",44
2022-09-11,36,"DE","00-04",83
2022-09-18,37,"DE","00-04",80
2022-09-25,38,"DE","00-04",89
2022-10-02,39,"DE","00-04",101
2022-10-09,40,"DE","00-04",112
2022-10-16,41,"DE","00-04",133
2022-10-23,42,"DE","00-04",149
2022-10-30,43,"DE","00-04",143
2022-06-19,24,"DE","05-14",9
2022-06-26,25,"DE","05-14",7
2022-07-03,26,"DE","05-14",5
2022-07-10,27,"DE","05-14",7
2022-07-17,28,"DE","05-14",7
2022-07-24,29,"DE","05-14",7
2022-07-31,30,"DE","05-14",5
2022-08-07,31,"DE","05-14",8
2022-08-14,32,"DE","05-14",4
2022-08-21,33,"DE","05-14",7
2022-08-28,34,"DE","05-14",14
2022-09-04,35,"DE","05-14",16
2022-09-11,36,"DE","05-14",23
2022-09-18,37,"DE","05-14",29
2022-09-25,38,"DE","05-14",24
2022-10-02,39,"DE","05-14",23
2022-10-09,40,"DE","05-14",17
2022-10-16,41,"DE","05-14",23
2022-10-23,42,"DE","05-14",36
2022-10-30,43,"DE","05-14",21
2022-06-19,24,"DE","15-34",21
2022-06-26,25,"DE","15-34",15
2022-07-03,26,"DE","15-34",14
2022-07-10,27,"DE","15-34",6
2022-07-17,28,"DE","15-34",6
2022-07-24,29,"DE","15-34",6
2022-07-31,30,"DE","15-34",5
2022-08-07,31,"DE","15-34",11
2022-08-14,32,"DE","15-34",9
2022-08-21,33,"DE","15-34",14
2022-08-28,34,"DE","15-34",9
2022-09-04,35,"DE","15-34",5
2022-09-11,36,"DE","15-34",8
2022-09-18,37,"DE","15-34",7
2022-09-25,38,"DE","15-34",13
2022-10-02,39,"DE","15-34",15
2022-10-09,40,"DE","15-34",12
2022-10-16,41,"DE","15-34",14
2022-10-23,42,"DE","15-34",12
2022-10-30,43,"DE","15-34",5
2022-06-19,24,"DE","35-59",39
2022-06-26,25,"DE","35-59",38
2022-07-03,26,"DE","35-59",39
2022-07-10,27,"DE","35-59",43
2022-07-17,28,"DE","35-59",22
2022-07-24,29,"DE","35-59",33
2022-07-31,30,"DE","35-59",36
2022-08-07,31,"DE","35-59",40
2022-08-14,32,"DE","35-59",39
2022-08-21,33,"DE","35-59",38
2022-08-28,34,"DE","35-59",28
2022-09-04,35,"DE","35-59",24
2022-09-11,36,"DE","35-59",43
2022-09-18,37,"DE","35-59",43
2022-09-25,38,"DE","35-59",44
2022-10-02,39,"DE","35-59",60
2022-10-09,40,"DE","35-59",42
2022-10-16,41,"DE","35-59",45
2022-10-23,42,"DE","35-59",53
2022-10-30,43,"DE","35-59",28
2022-06-19,24,"DE","60-79",118
2022-06-26,25,"DE","60-79",140
2022-07-03,26,"DE","60-79",158
2022-07-10,27,"DE","60-79",147
2022-07-17,28,"DE","60-79",150
2022-07-24,29,"DE","60-79",189
2022-07-31,30,"DE","60-79",138
2022-08-07,31,"DE","60-79",154
2022-08-14,32,"DE","60-79",117
2022-08-21,33,"DE","60-79",130
2022-08-28,34,"DE","60-79",109
2022-09-04,35,"DE","60-79",99
2022-09-11,36,"DE","60-79",121
2022-09-18,37,"DE","60-79",116
2022-09-25,38,"DE","60-79",137
2022-10-02,39,"DE","60-79",183
2022-10-09,40,"DE","60-79",184
2022-10-16,41,"DE","60-79",212
2022-10-23,42,"DE","60-79",188
2022-10-30,43,"DE","60-79",141
2022-06-19,24,"DE","80+",129
2022-06-26,25,"DE","80+",176
2022-07-03,26,"DE","80+",194
2022-07-10,27,"DE","80+",182
2022-07-17,28,"DE","80+",191
2022-07-24,29,"DE","80+",234
2022-07-31,30,"DE","80+",192
2022-08-07,31,"DE","80+",171
2022-08-14,32,"DE","80+",170
2022-08-21,33,"DE","80+",157
2022-08-28,34,"DE","80+",133
2022-09-04,35,"DE","80+",128
2022-09-11,36,"DE","80+",143
2022-09-18,37,"DE","80+",140
2022-09-25,38,"DE","80+",183
2022-10-02,39,"DE","80+",252
2022-10-09,40,"DE","80+",279
2022-10-16,41,"DE","80+",282
2022-10-23,42,"DE","80+",244
2022-10-30,43,"DE","80+",156
2022-06-19,24,"DE","00+",378
2022-06-26,25,"DE","00+",421
2022-07-03,26,"DE","00+",443
2022-07-10,27,"DE","00+",415
2022-07-17,28,"DE","00+",424
2022-07-24,29,"DE","00+",511
2022-07-31,30,"DE","00+",406
2022-08-07,31,"DE","00+",407
2022-08-14,32,"DE","00+",366
2022-08-21,33,"DE","00+",369
2022-08-28,34,"DE","00+",325
2022-09-04,35,"DE","00+",315
2022-09-11,36,"DE","00+",421
2022-09-18,37,"DE","00+",415
2022-09-25,38,"DE","00+",490
2022-10-02,39,"DE","00+",635
2022-10-09,40,"DE","00+",646
2022-10-16,41,"DE","00+",709
2022-10-23,42,"DE","00+",682
2022-10-30,43,"DE","00+",495
