date,year,week,location,age_group,value
2020-10-04,2020,40,DE,00+,0
2020-10-11,2020,41,DE,00+,0
2020-10-18,2020,42,DE,00+,0
2020-10-25,2020,43,DE,00+,0
2020-11-01,2020,44,DE,00+,0
2020-11-08,2020,45,DE,00+,0
2020-11-15,2020,46,DE,00+,0
2020-11-22,2020,47,DE,00+,0
2020-11-29,2020,48,DE,00+,83
2020-12-06,2020,49,DE,00+,0
2020-12-13,2020,50,DE,00+,0
2020-12-20,2020,51,DE,00+,0
2020-12-27,2020,52,DE,00+,0
2021-01-03,2020,53,DE,00+,0
2021-01-10,2021,1,DE,00+,0
2021-01-17,2021,2,DE,00+,0
2021-01-24,2021,3,DE,00+,0
2021-01-31,2021,4,DE,00+,0
2021-02-07,2021,5,DE,00+,0
2021-02-14,2021,6,DE,00+,0
2021-02-21,2021,7,DE,00+,0
2021-02-28,2021,8,DE,00+,0
2021-03-07,2021,9,DE,00+,0
2021-03-14,2021,10,DE,00+,0
2021-03-21,2021,11,DE,00+,0
2021-03-28,2021,12,DE,00+,0
2021-04-04,2021,13,DE,00+,0
2021-04-11,2021,14,DE,00+,0
2021-04-18,2021,15,DE,00+,0
2021-04-25,2021,16,DE,00+,0
2021-05-02,2021,17,DE,00+,0
2021-05-09,2021,18,DE,00+,0
2021-05-16,2021,19,DE,00+,0
2021-05-23,2021,20,DE,00+,0
2021-05-30,2021,21,DE,00+,0
2021-06-06,2021,22,DE,00+,0
2021-06-13,2021,23,DE,00+,0
2021-06-20,2021,24,DE,00+,0
2021-06-27,2021,25,DE,00+,0
2021-07-04,2021,26,DE,00+,0
2021-07-11,2021,27,DE,00+,0
2021-07-18,2021,28,DE,00+,0
2021-07-25,2021,29,DE,00+,0
2021-08-01,2021,30,DE,00+,0
2021-08-08,2021,31,DE,00+,0
2021-08-15,2021,32,DE,00+,0
2021-08-22,2021,33,DE,00+,0
2021-08-29,2021,34,DE,00+,0
2021-09-05,2021,35,DE,00+,0
2021-09-12,2021,36,DE,00+,0
2021-09-19,2021,37,DE,00+,0
2021-09-26,2021,38,DE,00+,0
2021-10-03,2021,39,DE,00+,0
2021-10-10,2021,40,DE,00+,0
2021-10-17,2021,41,DE,00+,0
2021-10-24,2021,42,DE,00+,0
2021-10-31,2021,43,DE,00+,0
2021-11-07,2021,44,DE,00+,0
2021-11-14,2021,45,DE,00+,0
2021-11-21,2021,46,DE,00+,0
2021-11-28,2021,47,DE,00+,0
2021-12-05,2021,48,DE,00+,0
2021-12-12,2021,49,DE,00+,0
2021-12-19,2021,50,DE,00+,0
2021-12-26,2021,51,DE,00+,0
2022-01-02,2021,52,DE,00+,0
2022-01-09,2022,1,DE,00+,0
2022-01-16,2022,2,DE,00+,0
2022-01-23,2022,3,DE,00+,83
2022-01-30,2022,4,DE,00+,0
2022-02-06,2022,5,DE,00+,0
2022-02-13,2022,6,DE,00+,0
2022-02-20,2022,7,DE,00+,0
2022-02-27,2022,8,DE,00+,0
2022-03-06,2022,9,DE,00+,83
2022-03-13,2022,10,DE,00+,83
2022-03-20,2022,11,DE,00+,0
2022-03-27,2022,12,DE,00+,83
2022-04-03,2022,13,DE,00+,166
