date,year,week,location,age_group,value
2014-10-05,2014,40,DE,00-04,1304
2014-10-05,2014,40,DE,05-14,450
2014-10-05,2014,40,DE,15-34,378
2014-10-05,2014,40,DE,35-59,573
2014-10-05,2014,40,DE,60-79,1815
2014-10-05,2014,40,DE,80+,2136
2014-10-05,2014,40,DE,00+,6651
2014-10-12,2014,41,DE,00-04,1146
2014-10-12,2014,41,DE,05-14,450
2014-10-12,2014,41,DE,15-34,567
2014-10-12,2014,41,DE,35-59,860
2014-10-12,2014,41,DE,60-79,1996
2014-10-12,2014,41,DE,80+,2492
2014-10-12,2014,41,DE,00+,7482
2014-10-19,2014,42,DE,00-04,1542
2014-10-19,2014,42,DE,05-14,450
2014-10-19,2014,42,DE,15-34,567
2014-10-19,2014,42,DE,35-59,860
2014-10-19,2014,42,DE,60-79,2178
2014-10-19,2014,42,DE,80+,2254
2014-10-19,2014,42,DE,00+,7482
2014-10-26,2014,43,DE,00-04,1621
2014-10-26,2014,43,DE,05-14,375
2014-10-26,2014,43,DE,15-34,378
2014-10-26,2014,43,DE,35-59,860
2014-10-26,2014,43,DE,60-79,1996
2014-10-26,2014,43,DE,80+,2432
2014-10-26,2014,43,DE,00+,7482
2014-11-02,2014,44,DE,00-04,1502
2014-11-02,2014,44,DE,05-14,675
2014-11-02,2014,44,DE,15-34,378
2014-11-02,2014,44,DE,35-59,1147
2014-11-02,2014,44,DE,60-79,2178
2014-11-02,2014,44,DE,80+,2729
2014-11-02,2014,44,DE,00+,8313
2014-11-09,2014,45,DE,00-04,1739
2014-11-09,2014,45,DE,05-14,450
2014-11-09,2014,45,DE,15-34,567
2014-11-09,2014,45,DE,35-59,1147
2014-11-09,2014,45,DE,60-79,1815
2014-11-09,2014,45,DE,80+,2432
2014-11-09,2014,45,DE,00+,7482
2014-11-16,2014,46,DE,00-04,1542
2014-11-16,2014,46,DE,05-14,600
2014-11-16,2014,46,DE,15-34,756
2014-11-16,2014,46,DE,35-59,860
2014-11-16,2014,46,DE,60-79,2178
2014-11-16,2014,46,DE,80+,2788
2014-11-16,2014,46,DE,00+,8313
2014-11-23,2014,47,DE,00-04,2135
2014-11-23,2014,47,DE,05-14,600
