location,age_group,year,week,date,value
DE,00+,2022,52,2023-01-01,25744
DE,00+,2023,1,2023-01-08,21971
DE,00+,2023,2,2023-01-15,13644
DE,00+,2023,3,2023-01-22,11145
DE,00+,2023,4,2023-01-29,11322
DE,00+,2023,5,2023-02-05,11367
DE,00+,2023,6,2023-02-12,12298
DE,00+,2023,7,2023-02-19,12009
DE,00+,2023,8,2023-02-26,13239
DE,00+,2023,9,2023-03-05,13310
DE,00+,2023,10,2023-03-12,14294
DE,00+,2023,11,2023-03-19,14766
DE,00+,2023,12,2023-03-26,14346
DE,00+,2023,13,2023-04-02,12311
DE,00+,2023,14,2023-04-09,11966
DE,00+,2023,15,2023-04-16,10413
DE,00+,2023,16,2023-04-23,9998
DE,00+,2023,17,2023-04-30,9311
DE,00+,2023,18,2023-05-07,9866
DE,00+,2023,19,2023-05-14,9362
DE,00+,2023,20,2023-05-21,8645
DE,00+,2023,21,2023-05-28,7983
DE,00+,2023,22,2023-06-04,8314
DE,00+,2023,23,2023-06-11,7538
DE,00+,2023,24,2023-06-18,7103
DE,00+,2023,25,2023-06-25,6762
DE,00+,2023,26,2023-07-02,5883
DE,00+,2023,27,2023-07-09,6436
DE,00+,2023,28,2023-07-16,6209
DE,00+,2023,29,2023-07-23,5875
DE,00+,2023,30,2023-07-30,5200
DE,00+,2023,31,2023-08-06,5049
DE,00+,2023,32,2023-08-13,6121
DE,00+,2023,33,2023-08-20,7817
DE,00+,2023,34,2023-08-27,6868
DE,00+,2023,35,2023-09-03,7313
DE,00+,2023,36,2023-09-10,9315
DE,00+,2023,37,2023-09-17,8536
DE,00+,2023,38,2023-09-24,8592
DE,00+,2023,39,2023-10-01,8982
DE,00+,2023,40,2023-10-08,9097
DE,00+,2023,41,2023-10-15,10965
DE,00+,2023,42,2023-10-22,12181
DE,00+,2023,43,2023-10-29,12181
DE,00+,2023,44,2023-11-05,12457
DE,00+,2023,45,2023-11-12,10634
DE,00-04,2022,52,2023-01-01,0
DE,00-04,2023,1,2023-01-08,0
DE,00-04,2023,2,2023-01-15,0
DE,00-04,2023,3,2023-01-22,0
DE,00-04,2023,4,2023-01-29,0
DE,00-04,2023,5,2023-02-05,0
DE,00-04,2023,6,2023-02-12,0
DE,00-04,2023,7,2023-02-19,0
DE,00-04,2023,8,2023-02-26,0
DE,00-04,2023,9,2023-03-05,0
DE,00-04,2023,10,2023-03-12,0
DE,00-04,2023,11,2023-03-19,0
DE,00-04,2023,12,2023-03-26,0
DE,00-04,2023,13,2023-04-02,0
DE,00-04,2023,14,2023-04-09,0
DE,00-04,2023,15,2023-04-16,0
DE,00-04,2023,16,2023-04-23,0
DE,00-04,2023,17,2023-04-30,0
DE,00-04,2023,18,2023-05-07,0
DE,00-04,2023,19,2023-05-14,0
DE,00-04,2023,20,2023-05-21,0
DE,00-04,2023,21,2023-05-28,0
DE,00-04,2023,22,2023-06-04,0
DE,00-04,2023,23,2023-06-11,0
DE,00-04,2023,24,2023-06-18,0
DE,00-04,2023,25,2023-06-25,0
DE,00-04,2023,26,2023-07-02,0
DE,00-04,2023,27,2023-07-09,0
DE,00-04,2023,28,2023-07-16,0
DE,00-04,2023,29,2023-07-23,0
DE,00-04,2023,30,2023-07-30,0
DE,00-04,2023,31,2023-08-06,0
DE,00-04,2023,32,2023-08-13,0
DE,00-04,2023,33,2023-08-20,0
DE,00-04,2023,34,2023-08-27,0
DE,00-04,2023,35,2023-09-03,0
DE,00-04,2023,36,2023-09-10,0
DE,00-04,2023,37,2023-09-17,0
DE,00-04,2023,38,2023-09-24,0
DE,00-04,2023,39,2023-10-01,0
DE,00-04,2023,40,2023-10-08,0
DE,00-04,2023,41,2023-10-15,0
DE,00-04,2023,42,2023-10-22,0
DE,00-04,2023,43,2023-10-29,0
DE,00-04,2023,44,2023-11-05,0
DE,00-04,2023,45,2023-11-12,0
DE,05-14,2022,52,2023-01-01,0
DE,05-14,2023,1,2023-01-08,0
DE,05-14,2023,2,2023-01-15,0
DE,05-14,2023,3,2023-01-22,0
DE,05-14,2023,4,2023-01-29,0
DE,05-14,2023,5,2023-02-05,0
DE,05-14,2023,6,2023-02-12,0
DE,05-14,2023,7,2023-02-19,0
DE,05-14,2023,8,2023-02-26,0
DE,05-14,2023,9,2023-03-05,0
DE,05-14,2023,10,2023-03-12,0
DE,05-14,2023,11,2023-03-19,0
DE,05-14,2023,12,2023-03-26,0
DE,05-14,2023,13,2023-04-02,0
DE,05-14,2023,14,2023-04-09,0
DE,05-14,2023,15,2023-04-16,0
DE,05-14,2023,16,2023-04-23,0
DE,05-14,2023,17,2023-04-30,0
DE,05-14,2023,18,2023-05-07,0
DE,05-14,2023,19,2023-05-14,0
DE,05-14,2023,20,2023-05-21,0
DE,05-14,2023,21,2023-05-28,0
DE,05-14,2023,22,2023-06-04,0
DE,05-14,2023,23,2023-06-11,0
DE,05-14,2023,24,2023-06-18,0
DE,05-14,2023,25,2023-06-25,0
DE,05-14,2023,26,2023-07-02,0
DE,05-14,2023,27,2023-07-09,0
DE,05-14,2023,28,2023-07-16,0
DE,05-14,2023,29,2023-07-23,0
DE,05-14,2023,30,2023-07-30,0
DE,05-14,2023,31,2023-08-06,0
DE,05-14,2023,32,2023-08-13,0
DE,05-14,2023,33,2023-08-20,0
DE,05-14,2023,34,2023-08-27,0
DE,05-14,2023,35,2023-09-03,0
DE,05-14,2023,36,2023-09-10,0
DE,05-14,2023,37,2023-09-17,0
DE,05-14,2023,38,2023-09-24,0
DE,05-14,2023,39,2023-10-01,0
DE,05-14,2023,40,2023-10-08,0
DE,05-14,2023,41,2023-10-15,0
DE,05-14,2023,42,2023-10-22,0
DE,05-14,2023,43,2023-10-29,0
DE,05-14,2023,44,2023-11-05,0
DE,05-14,2023,45,2023-11-12,0
DE,15-34,2022,52,2023-01-01,0
DE,15-34,2023,1,2023-01-08,0
DE,15-34,2023,2,2023-01-15,0
DE,15-34,2023,3,2023-01-22,0
DE,15-34,2023,4,2023-01-29,0
DE,15-34,2023,5,2023-02-05,0
DE,15-34,2023,6,2023-02-12,0
DE,15-34,2023,7,2023-02-19,0
DE,15-34,2023,8,2023-02-26,0
