date,year,week,location,age_group,value
2021-01-10,2021,1,DE,00+,36.0
2021-01-17,2021,2,DE,00+,32.0
2021-01-24,2021,3,DE,00+,31.0
2021-01-31,2021,4,DE,00+,21.0
2021-02-07,2021,5,DE,00+,11.0
2021-02-14,2021,6,DE,00+,16.0
2021-02-21,2021,7,DE,00+,14.0
2021-02-28,2021,8,DE,00+,9.0
2021-03-07,2021,9,DE,00+,10.0
2021-03-14,2021,10,DE,00+,16.0
2021-03-21,2021,11,DE,00+,12.0
2021-03-28,2021,12,DE,00+,13.0
2021-04-04,2021,13,DE,00+,9.0
2021-04-11,2021,14,DE,00+,12.0
2021-04-18,2021,15,DE,00+,10.0
2021-04-25,2021,16,DE,00+,13.0
2021-05-02,2021,17,DE,00+,9.0
2021-05-09,2021,18,DE,00+,7.0
2021-05-16,2021,19,DE,00+,5.0
2021-05-23,2021,20,DE,00+,7.0
2021-05-30,2021,21,DE,00+,8.0
2021-06-06,2021,22,DE,00+,11.0
2021-06-13,2021,23,DE,00+,5.0
2021-06-20,2021,24,DE,00+,2.0
2021-06-27,2021,25,DE,00+,8.0
2021-07-04,2021,26,DE,00+,4.0
2021-07-11,2021,27,DE,00+,4.0
2021-07-18,2021,28,DE,00+,6.0
2021-07-25,2021,29,DE,00+,10.0
2021-08-01,2021,30,DE,00+,3.0
2021-08-08,2021,31,DE,00+,7.0
2021-08-15,2021,32,DE,00+,4.0
2021-08-22,2021,33,DE,00+,3.0
2021-08-29,2021,34,DE,00+,10.0
2021-09-05,2021,35,DE,00+,23.0
2021-09-12,2021,36,DE,00+,17.0
2021-09-19,2021,37,DE,00+,18.0
2021-09-26,2021,38,DE,00+,7.0
2021-10-03,2021,39,DE,00+,28.0
2021-10-10,2021,40,DE,00+,24.0
2021-10-17,2021,41,DE,00+,19.0
2021-10-24,2021,42,DE,00+,34.0
2021-10-31,2021,43,DE,00+,33.0
2021-11-07,2021,44,DE,00+,38.0
2021-11-14,2021,45,DE,00+,47.0
2021-11-21,2021,46,DE,00+,40.0
2021-11-28,2021,47,DE,00+,40.0
2021-12-05,2021,48,DE,00+,40.0
2021-12-12,2021,49,DE,00+,69.0
2021-12-19,2021,50,DE,00+,99.0
2021-12-26,2021,51,DE,00+,81.0
2022-01-02,2021,52,DE,00+,90.0
2022-01-09,2022,1,DE,00+,183.0
2022-01-16,2022,2,DE,00+,230.0
2022-01-23,2022,3,DE,00+,282.0
2022-01-30,2022,4,DE,00+,290.0
2022-02-06,2022,5,DE,00+,330.0
2022-02-13,2022,6,DE,00+,285.0
2022-02-20,2022,7,DE,00+,246.0
2022-02-27,2022,8,DE,00+,197.0
2022-03-06,2022,9,DE,00+,196.0
2022-03-13,2022,10,DE,00+,317.0
2022-03-20,2022,11,DE,00+,475.0
2022-03-27,2022,12,DE,00+,635.0
2022-04-03,2022,13,DE,00+,702.0
2022-04-10,2022,14,DE,00+,878.0
2022-04-17,2022,15,DE,00+,1046.0
2022-04-24,2022,16,DE,00+,1057.0
2022-05-01,2022,17,DE,00+,1515.0
2022-05-08,2022,18,DE,00+,1731.0
2022-05-15,2022,19,DE,00+,2130.0
2022-05-22,2022,20,DE,00+,1867.0
2022-05-29,2022,21,DE,00+,955.0
