date,year,week,location,age_group,value
2022-01-09,2022,1,DE,00+,337893
2022-01-16,2022,2,DE,00+,485927
2022-01-23,2022,3,DE,00+,796393
2022-01-30,2022,4,DE,00+,1113917
2022-02-06,2022,5,DE,00+,1291897
2022-02-13,2022,6,DE,00+,1309658
2022-02-20,2022,7,DE,00+,1194069
2022-02-27,2022,8,DE,00+,1092792
2022-03-06,2022,9,DE,00+,1132195
2022-03-13,2022,10,DE,00+,1412472
2022-03-20,2022,11,DE,00+,1580729
2022-03-27,2022,12,DE,00+,1587349
2022-04-03,2022,13,DE,00+,1290305
2022-04-10,2022,14,DE,00+,980080
2022-04-17,2022,15,DE,00+,778939
2022-04-24,2022,16,DE,00+,731739
2022-05-01,2022,17,DE,00+,596568
2022-05-08,2022,18,DE,00+,470969
2022-05-15,2022,19,DE,00+,408504
2022-05-22,2022,20,DE,00+,292739
2022-05-29,2022,21,DE,00+,187321
2022-06-05,2022,22,DE,00+,245272
2022-06-12,2022,23,DE,00+,331608
2022-06-19,2022,24,DE,00+,413917
2022-06-26,2022,25,DE,00+,574232
2022-07-03,2022,26,DE,00+,622606
2022-07-10,2022,27,DE,00+,629193
2022-07-17,2022,28,DE,00+,675099
2022-07-24,2022,29,DE,00+,627266
2022-07-31,2022,30,DE,00+,495905
2022-08-07,2022,31,DE,00+,363016
2022-08-14,2022,32,DE,00+,298432
2022-08-21,2022,33,DE,00+,263428
2022-08-28,2022,34,DE,00+,228029
2022-09-04,2022,35,DE,00+,201806
2022-09-11,2022,36,DE,00+,204168
2022-09-18,2022,37,DE,00+,229071
2022-09-25,2022,38,DE,00+,286765
2022-10-02,2022,39,DE,00+,459111
2022-10-09,2022,40,DE,00+,594376
2022-10-16,2022,41,DE,00+,645931
2022-10-23,2022,42,DE,00+,545764
2022-10-30,2022,43,DE,00+,374132
2022-11-06,2022,44,DE,00+,243798
2022-11-13,2022,45,DE,00+,202242
2022-11-20,2022,46,DE,00+,169880
2022-11-27,2022,47,DE,00+,170874
2022-12-04,2022,48,DE,00+,185184
2022-12-11,2022,49,DE,00+,199935
2022-12-18,2022,50,DE,00+,223535
2022-12-25,2022,51,DE,00+,232184
2023-01-01,2022,52,DE,00+,151891
2023-01-08,2023,1,DE,00+,130631
2023-01-15,2023,2,DE,00+,89271
2023-01-22,2023,3,DE,00+,63042
2023-01-29,2023,4,DE,00+,73460
2023-02-05,2023,5,DE,00+,84444
2023-02-12,2023,6,DE,00+,86920
2023-02-19,2023,7,DE,00+,98279
