location,age_group,year,week,date,value_-1w,value_0w,value_1w,value_2w,value_3w,value_4w
DE,00+,2024,21,2024-05-26,27,32,3,1,0,0
DE,00+,2024,22,2024-06-02,52,32,2,0,0,0
DE,00+,2024,23,2024-06-09,31,29,1,0,0,0
DE,00+,2024,24,2024-06-16,26,13,1,0,0,0
DE,00+,2024,25,2024-06-23,21,14,0,0,0,0
DE,00+,2024,26,2024-06-30,17,19,0,0,0,0
DE,00+,2024,27,2024-07-07,34,14,0,1,0,0
DE,00+,2024,28,2024-07-14,24,5,1,0,0,0
DE,00+,2024,29,2024-07-21,8,16,0,0,0,0
DE,00+,2024,30,2024-07-28,8,10,0,0,0,0
DE,00+,2024,31,2024-08-04,5,9,0,0,0,0
DE,00+,2024,32,2024-08-11,11,18,0,0,0,0
DE,00+,2024,33,2024-08-18,12,20,1,0,0,0
DE,00+,2024,34,2024-08-25,22,30,0,0,1,0
DE,00+,2024,35,2024-09-01,13,22,0,0,0,0
DE,00+,2024,36,2024-09-08,12,14,0,1,0,0
DE,00+,2024,37,2024-09-15,10,12,0,0,0,0
DE,00+,2024,38,2024-09-22,16,23,0,0,0,0
DE,00+,2024,39,2024-09-29,19,39,0,1,0,0
DE,00+,2024,40,2024-10-06,17,7,0,0,0,0
DE,00+,2024,41,2024-10-13,15,20,0,0,0,0
DE,00+,2024,42,2024-10-20,30,27,0,0,1,
DE,00+,2024,43,2024-10-27,34,22,0,0,,
DE,00+,2024,44,2024-11-03,53,33,1,,,
DE,00+,2024,45,2024-11-10,57,36,,,,
DE,00+,2024,46,2024-11-17,45,,,,,
DE,00-04,2024,21,2024-05-26,4,11,1,0,0,0
DE,00-04,2024,22,2024-06-02,13,10,0,0,0,0
DE,00-04,2024,23,2024-06-09,9,9,0,0,0,0
DE,00-04,2024,24,2024-06-16,4,2,0,0,0,0
DE,00-04,2024,25,2024-06-23,2,7,0,0,0,0
DE,00-04,2024,26,2024-06-30,3,3,0,0,0,0
DE,00-04,2024,27,2024-07-07,7,2,0,1,0,0
DE,00-04,2024,28,2024-07-14,4,4,0,0,0,0
DE,00-04,2024,29,2024-07-21,2,2,0,0,0,0
DE,00-04,2024,30,2024-07-28,2,2,0,0,0,0
DE,00-04,2024,31,2024-08-04,2,0,0,0,0,0
DE,00-04,2024,32,2024-08-11,3,4,0,0,0,0
DE,00-04,2024,33,2024-08-18,3,1,0,0,0,0
DE,00-04,2024,34,2024-08-25,7,5,0,0,0,0
DE,00-04,2024,35,2024-09-01,2,9,0,0,0,0
